"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday (1).nlogo"
"mv soft pre cut?"
"04/20/2559 21:48:59:369 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","start-cut","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","max-count-send","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"99","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"100","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"101","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"104","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"103","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"105","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"102","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"106","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"108","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"110","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"107","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"111","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"112","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"109","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"113","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"115","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"114","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"117","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"118","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"119","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"116","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"121","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"120","4","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"122","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"124","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.8666666666666667"
"125","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"126","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"123","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"127","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"129","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"128","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"131","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"132","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"134","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"130","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"133","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"136","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"135","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"139","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"138","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"140","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"137","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"141","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"142","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"143","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"145","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"144","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"147","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"146","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"148","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"149","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"150","5","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"152","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"151","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"154","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"155","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"156","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"153","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.8666666666666667"
"157","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"158","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"160","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"159","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"162","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"161","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"163","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"165","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"166","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"164","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"168","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"169","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"167","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"170","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"171","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"172","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"173","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"174","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"175","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"176","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"179","6","15","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
