"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"result2"
"03/18/2559 15:21:53:457 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","area.x","area.y","adversaries-rate","workers-probability","number-workers","adversaries-type","problem-label","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"192","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"195","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"193","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"194","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"196","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"198","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"199","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"197","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"200","1","2","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
"201","1","3","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","100"
