BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,
marcs.nlogo,,,,,,,,,,,,,,,
newcut0,,,,,,,,,,,,,,,
02/21/2559 22:43:48:386 +0700,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,
[run number],cut-workers-per-round,workers-probability,label-level,problem-label,number-workers,reputation-algorithm,show-penalty?,adversaries-type,use-cut-worker-by-penalty?,adversaries-rate,area.x,data-fusion,area.y,[step],sum-correctness / floor(ticks / update-ticks)
80,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,75
81,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,83.3333333333
78,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,77.0833333333
82,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,72.9166666667
84,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,87.5
83,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,85.4166666667
85,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,89.5833333333
87,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,87.5
86,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,85.4166666667
88,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,81.25
90,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,77.0833333333
91,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,75
92,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,91.6666666667
93,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,87.5
94,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,81.25
95,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,68.75
89,0,60,"""2 Levels""","""normal""",100,"""Soft Penalty""",false,"""3. perfect""",true,10,1,"""Majority Voting""",1,1441,70.8333333333
