"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"result1"
"03/17/2559 21:01:58:099 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","round-cut","round-cut-type","workers-probability","number-workers","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"93","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.75"
"94","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.97916666666667"
"95","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.89583333333333"
"96","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","98.02083333333333"
"97","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.875"
"99","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.8125"
"100","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","98.08333333333333"
"98","0","1","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.66666666666667"
"101","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","98.04166666666667"
"102","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","98.20833333333333"
"104","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","98.02083333333333"
"103","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","98.10416666666667"
"105","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.66666666666667"
"106","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.75"
"107","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.97916666666667"
"109","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.8125"
"110","0","3","2","80","100","""3. perfect""","""normal""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","10","false","1441","97.875"
