"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvsoft3dday2"
"04/18/2559 05:05:43:728 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"102","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.5333333333333333"
"104","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.4666666666666667"
"105","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"106","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"107","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"109","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"108","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"112","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"110","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"111","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"113","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"114","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"116","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"115","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"117","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"118","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"119","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"120","30","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"121","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6"
"122","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"123","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"124","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6"
"126","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6"
"128","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"127","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"129","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"125","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"130","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"131","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"132","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"133","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"134","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"135","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"136","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"138","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"139","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6"
"140","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"137","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"141","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"142","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.5333333333333333"
"143","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"144","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"145","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"146","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"147","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"148","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"150","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.9333333333333333"
"149","35","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"151","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"152","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"153","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8"
"154","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"155","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"158","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6"
"157","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.4666666666666667"
"159","40","5","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
